date,batting_team,bowling_team,player_of_match,match_won_by,win_outcome,toss_winner,toss_decision,venue,city,day,month,year,season,superover_winner,result_type,method,event_match_no,stage,target_score,chased_score,tie_match,venue_home_team,is_home_win
2023-04-26,KKR,RCB,CV Varun,KKR,21 runs,RCB,field,m chinnaswamy stadium,bengaluru,26,4,2023,2023,no super over,no super over,no super over,36,simple matches,201,179.0,0,RCB,0
2023-04-27,RR,CSK,YBK Jaiswal,RR,32 runs,RR,bat,sawai mansingh stadium,jaipur,27,4,2023,2023,no super over,no super over,no super over,37,simple matches,203,170.0,0,RR,1
2023-04-28,LSG,KXP,MP Stoinis,LSG,56 runs,KXP,field,punjab cricket association stadium,chandigarh,28,4,2023,2023,no super over,no super over,no super over,38,simple matches,258,201.0,0,KXP,0
2023-04-29,KKR,GT,J Little,GT,7 wickets,GT,field,eden gardens,kolkata,29,4,2023,2023,no super over,no super over,no super over,39,simple matches,180,180.0,0,KKR,0
2023-04-29,SRH,DC,MR Marsh,SRH,9 runs,SRH,bat,arun jaitley stadium,delhi,29,4,2023,2023,no super over,no super over,no super over,40,simple matches,198,188.0,0,DC,0
2023-04-30,CSK,KXP,DP Conway,KXP,4 wickets,CSK,bat,ma chidambaram stadium,chennai,30,4,2023,2023,no super over,no super over,no super over,41,simple matches,201,201.0,0,CSK,0
2023-04-30,RR,MI,YBK Jaiswal,MI,6 wickets,RR,bat,wankhede stadium,mumbai,30,4,2023,2023,no super over,no super over,no super over,42,simple matches,213,214.0,0,MI,1
2023-05-01,RCB,LSG,F du Plessis,RCB,18 runs,RCB,bat,bharat ratna shri atal bihari vajpayee ekana cricket stadium,lucknow,1,5,2023,2023,no super over,no super over,no super over,43,simple matches,127,108.0,0,no super over,0
2023-05-02,DC,GT,Mohammed Shami,DC,5 runs,DC,bat,narendra modi stadium,ahmedabad,2,5,2023,2023,no super over,no super over,no super over,44,simple matches,131,125.0,0,GT,0
2023-05-03,KXP,MI,Ishan Kishan,MI,6 wickets,MI,field,punjab cricket association stadium,chandigarh,3,5,2023,2023,no super over,no super over,no super over,46,simple matches,215,216.0,0,KXP,0
2023-05-04,KKR,SRH,CV Varun,KKR,5 runs,KKR,bat,rajiv gandhi international stadium,hyderabad,4,5,2023,2023,no super over,no super over,no super over,47,simple matches,172,166.0,0,SRH,0
2023-05-05,RR,GT,Rashid Khan,GT,9 wickets,RR,bat,sawai mansingh stadium,jaipur,5,5,2023,2023,no super over,no super over,no super over,48,simple matches,119,119.0,0,RR,0
2023-05-06,MI,CSK,M Pathirana,CSK,6 wickets,CSK,field,ma chidambaram stadium,chennai,6,5,2023,2023,no super over,no super over,no super over,49,simple matches,140,140.0,0,CSK,1
2023-05-06,RCB,DC,PD Salt,DC,7 wickets,RCB,bat,arun jaitley stadium,delhi,6,5,2023,2023,no super over,no super over,no super over,50,simple matches,182,187.0,0,DC,1
2023-05-07,GT,LSG,Shubman Gill,GT,56 runs,LSG,field,narendra modi stadium,ahmedabad,7,5,2023,2023,no super over,no super over,no super over,51,simple matches,228,171.0,0,GT,1
2023-05-07,RR,SRH,GD Phillips,SRH,4 wickets,RR,bat,sawai mansingh stadium,jaipur,7,5,2023,2023,no super over,no super over,no super over,52,simple matches,215,217.0,0,RR,0
2023-05-08,KXP,KKR,AD Russell,KKR,5 wickets,KXP,bat,eden gardens,kolkata,8,5,2023,2023,no super over,no super over,no super over,53,simple matches,180,182.0,0,KKR,1
2023-05-09,RCB,MI,SA Yadav,MI,6 wickets,MI,field,wankhede stadium,mumbai,9,5,2023,2023,no super over,no super over,no super over,54,simple matches,200,200.0,0,MI,1
2023-05-10,CSK,DC,RA Jadeja,CSK,27 runs,CSK,bat,ma chidambaram stadium,chennai,10,5,2023,2023,no super over,no super over,no super over,55,simple matches,168,140.0,0,CSK,1
